symbol,total_trades,wins,losses,win_rate,realized_pnl,unrealized_pnl,total_pnl,avg_win,avg_loss,rr_ratio
UNH,39,10,29,25.6%,-1324.60,0.00,-1324.60,5.2%,-2.0%,2.57
TGT,26,10,16,38.5%,-1347.69,0.00,-1347.69,6.3%,-4.1%,1.53
PFE,21,7,14,33.3%,-1563.52,0.00,-1563.52,3.1%,-2.3%,1.36
AVGO,25,8,17,32.0%,-1713.20,0.00,-1713.20,4.5%,-2.9%,1.56
CMCSA,25,8,17,32.0%,-1783.84,0.00,-1783.84,2.1%,-1.9%,1.08
DIS,24,6,18,25.0%,-2123.31,0.00,-2123.31,2.2%,-2.0%,1.14
DE,22,6,16,27.3%,-2295.26,0.00,-2295.26,5.4%,-3.1%,1.76
XOM,23,7,16,30.4%,-2423.03,0.00,-2423.03,2.7%,-2.4%,1.11
CL,26,5,21,19.2%,-2673.38,0.00,-2673.38,2.4%,-1.6%,1.53
TJX,31,9,22,29.0%,-3041.11,0.00,-3041.11,2.4%,-2.5%,0.95
QCOM,30,6,24,20.0%,-3650.87,0.00,-3650.87,5.9%,-2.5%,2.38
T,23,2,21,8.7%,-4135.56,0.00,-4135.56,7.8%,-2.2%,3.60
AMZN,31,6,25,19.4%,-4348.06,0.00,-4348.06,7.3%,-2.8%,2.61
GILD,28,6,22,21.4%,-4415.21,0.00,-4415.21,2.5%,-2.7%,0.93
