timestamp,backtest_id,universe,period,sharpe,cagr,max_dd,win_rate,avg_win,avg_loss,rr,trades,net_profit
2026-01-08T17:08:23.659801,55190f00547b,single_instrument,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.10,3.9%,29.0%,0.0%,0.0%,0.0%,0.00,0,"$46,091"
2026-01-08T17:09:50.108121,55190f00547b,single_instrument,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.10,3.9%,29.0%,0.0%,0.0%,0.0%,0.00,0,"$46,091"
2026-01-08T17:11:31.646971,55190f00547b,single_instrument,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.10,3.9%,29.0%,75.4%,2.0%,-3.1%,0.63,61,"$46,091"
