timestamp,backtest_id,universe,period,sharpe,cagr,max_dd,win_rate,avg_win,avg_loss,rr,trades,net_profit
2026-01-08T17:08:20.127172,f199199252f7,sector_spdrs,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.24,6.2%,19.7%,0.0%,0.0%,0.0%,0.00,0,"$72,658"
2026-01-08T17:09:47.088821,f199199252f7,sector_spdrs,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.24,6.2%,19.7%,0.0%,0.0%,0.0%,0.00,0,"$72,658"
2026-01-08T17:11:27.161343,f199199252f7,sector_spdrs,2015-01-01 00:00:00 to 2024-12-31 23:59:59,0.24,6.2%,19.7%,61.8%,7.9%,-3.6%,2.20,207,"$72,658"
