Date,Ticker,Direction,Quantity,Price,Value,Status
2020-01-02T15:00:00Z,NVDA,BUY,2937.0,5.856134635,17199.467422995,3
2020-01-02T15:00:00Z,AAPL,BUY,243.0,70.76236748,17195.25529764,3
2020-01-02T15:00:00Z,GE,BUY,318.0,54.0989640377738,17203.47056401207,3
2020-01-02T15:00:00Z,AMAT,BUY,139.0,57.676586128,8017.045471792,3
2020-01-02T15:00:00Z,CAT,BUY,61.0,130.354906032,7951.649267952,3
2020-01-02T15:00:00Z,JPM,BUY,68.0,117.6101769,7997.4920292,3
2020-01-02T15:00:00Z,ADBE,BUY,24.0,329.81,7915.44,3
2020-01-02T15:00:00Z,NFLX,BUY,248.0,32.357,8024.536,3
2020-01-02T15:00:00Z,LLY,BUY,65.0,122.27248332,7947.7114158,3
2020-01-02T15:00:00Z,QCOM,BUY,103.0,77.243653338,7956.096293814,3
2020-02-03T15:00:00Z,AMAT,SELL,139.0,54.794646618,7616.455879902,3
2020-02-03T15:00:00Z,QCOM,SELL,103.0,74.687249986,7692.786748558,3
2020-02-03T15:00:00Z,CAT,SELL,61.0,116.753928275,7121.989624775,3
2020-02-03T15:00:00Z,JPM,SELL,68.0,112.387511328,7642.350770304,3
2020-02-03T15:00:00Z,NOW,BUY,261.0,67.646,17655.606,3
2020-02-03T15:00:00Z,AAPL,SELL,7.0,74.584234152,522.089639064,3
2020-02-03T15:00:00Z,ADBE,BUY,26.0,351.14,9129.64,3
2020-02-03T15:00:00Z,GE,SELL,182.0,60.3523389131078,10984.12568218562,3
2020-02-03T15:00:00Z,CRWD,BUY,134.0,61.09,8186.06,3
2020-02-03T15:00:00Z,NFLX,SELL,10.0,34.509,345.09,3
2020-02-03T15:00:00Z,MSFT,BUY,51.0,161.630218722,8243.141154822,3
2020-02-03T15:00:00Z,NVDA,SELL,1537.0,5.8842580185,9044.1045744345,3
2020-02-03T15:00:00Z,MA,BUY,26.0,306.349546518,7965.088209468,3
2020-03-02T15:00:00Z,AAPL,SELL,236.0,66.02932209,15582.92001324,3
2020-03-02T15:00:00Z,ADBE,SELL,50.0,345.12,17256.0,3
2020-03-02T15:00:00Z,CRWD,SELL,134.0,59.64,7991.76,3
2020-03-02T15:00:00Z,GE,SELL,136.0,52.7416423594067,7172.863360879312,3
2020-03-02T15:00:00Z,LLY,SELL,65.0,117.949889302,7666.74280463,3
2020-03-02T15:00:00Z,MA,SELL,26.0,281.439374175,7317.42372855,3
2020-03-02T15:00:00Z,MSFT,SELL,51.0,154.245638348,7866.527555748,3
2020-03-02T15:00:00Z,NFLX,SELL,238.0,36.903,8782.914,3
2020-03-02T15:00:00Z,NOW,SELL,261.0,65.218,17021.898,3
2020-03-02T15:00:00Z,NVDA,SELL,1400.0,6.725509323625,9415.713053075,3
2020-06-01T14:00:00Z,CRWD,BUY,192.0,87.81,16859.52,3
2020-06-01T14:00:00Z,NVDA,BUY,1914.0,8.84100536925,16921.6842767445,3
2020-06-01T14:00:00Z,AMZN,BUY,138.0,121.832009999,16812.817379862,3
2020-06-01T14:00:00Z,PANW,BUY,201.0,39.2116627455,7881.5442118455,3
2020-06-01T14:00:00Z,LLY,BUY,54.0,143.703820715,7760.00631861,3
2020-06-01T14:00:00Z,NOW,BUY,101.0,77.586,7836.186,3
2020-06-01T14:00:00Z,META,BUY,35.0,223.528595688,7823.50084908,3
2020-06-01T14:00:00Z,AAPL,BUY,102.0,77.0053779915,7854.548555133,3
2020-06-01T14:00:00Z,NFLX,BUY,188.0,41.973,7890.924,3
2020-06-01T14:00:00Z,MSFT,BUY,45.0,174.9536128,7872.912576,3
2020-07-01T14:00:00Z,MSFT,SELL,45.0,194.296369664,8743.33663488,3
2020-07-01T14:00:00Z,LLY,SELL,54.0,154.254941386,8329.766834844,3
2020-07-01T14:00:00Z,NFLX,SELL,188.0,45.504,8554.752,3
2020-07-01T14:00:00Z,CRWD,SELL,8.0,100.29,802.32,3
2020-07-01T14:00:00Z,NVDA,BUY,42.0,9.465153722,397.536456324,3
2020-07-01T14:00:00Z,AAPL,BUY,107.0,88.35491568,9453.97597776,3
2020-07-01T14:00:00Z,AMZN,SELL,76.0,137.617390414,10458.921671464,3
2020-07-01T14:00:00Z,NOW,BUY,5.0,81.012,405.06,3
2020-07-01T14:00:00Z,PANW,BUY,24.0,38.2783295055,918.679908132,3
2020-07-01T14:00:00Z,ADBE,BUY,19.0,435.31,8270.89,3
2020-07-01T14:00:00Z,META,BUY,3.0,225.494860824,676.484582472,3
2020-07-01T14:00:00Z,QCOM,BUY,106.0,81.11077275,8597.7419115,3
2020-07-01T14:00:00Z,AVGO,BUY,309.0,27.898282828,8620.569393852,3
2020-08-03T14:00:00Z,AVGO,SELL,309.0,27.9990529,8651.7073461,3
2020-08-03T14:00:00Z,META,SELL,38.0,251.910341944,9572.592993872,3
2020-08-03T14:00:00Z,AAPL,SELL,8.0,102.945102414,823.560819312,3
2020-08-03T14:00:00Z,QCOM,SELL,3.0,93.91633275,281.74899825,3
2020-08-03T14:00:00Z,AMAT,BUY,158.0,61.219657366,9672.705863828,3
2020-08-03T14:00:00Z,NOW,BUY,4.0,87.84,351.36,3
2020-08-03T14:00:00Z,ADBE,BUY,2.0,444.32,888.64,3
2020-08-03T14:00:00Z,DE,BUY,59.0,164.136376323,9684.046203057,3
2020-09-01T14:00:00Z,PANW,SELL,225.0,42.9016623765,9652.8740347125,3
2020-09-01T14:00:00Z,AMAT,SELL,158.0,58.81643768,9292.99715344,3
2020-09-01T14:00:00Z,AAPL,SELL,11.0,125.239862328,1377.638485608,3
2020-09-01T14:00:00Z,NVDA,SELL,163.0,13.328598716,2172.561590708,3
2020-09-01T14:00:00Z,QCOM,BUY,122.0,105.9126525,12921.343605,3
2020-09-01T14:00:00Z,AMZN,BUY,2.0,172.143202392,344.286404784,3
2020-09-01T14:00:00Z,DE,SELL,2.0,195.556050198,391.112100396,3
2020-09-01T14:00:00Z,CRWD,SELL,96.0,125.73,12070.08,3
2020-09-01T14:00:00Z,META,BUY,38.0,291.16613024,11064.31294912,3
2020-09-01T14:00:00Z,NFLX,BUY,210.0,52.956,11120.76,3
2020-09-01T14:00:00Z,NOW,BUY,5.0,96.404,482.02,3
2020-10-01T14:00:00Z,ADBE,SELL,21.0,490.43,10299.03,3
2020-10-01T14:00:00Z,META,SELL,38.0,260.08325208,9883.16357904,3
2020-10-01T14:00:00Z,AMZN,SELL,64.0,157.067153971,10052.297854144,3
2020-10-01T14:00:00Z,NFLX,SELL,210.0,50.003,10500.63,3
2020-10-01T14:00:00Z,NVDA,SELL,70.0,13.4880981191,944.166868337,3
2020-10-01T14:00:00Z,DE,BUY,55.0,207.036262901,11386.994459555,3
2020-10-01T14:00:00Z,CRWD,BUY,81.0,137.32,11122.92,3
2020-10-01T14:00:00Z,QCOM,SELL,122.0,105.210380072,12835.666368784,3
2020-10-01T14:00:00Z,AAPL,SELL,94.0,112.399476567,10565.550797298,3
2020-10-01T14:00:00Z,CAT,BUY,80.0,134.795102995,10783.6082396,3
2020-10-01T14:00:00Z,AVGO,BUY,333.0,32.4975953808,10821.6992618064,3
2020-10-01T14:00:00Z,NOW,SELL,4.0,97.0,388.0,3
2020-10-01T14:00:00Z,HON,BUY,77.0,139.46662720447,10738.93029474419,3
2020-10-01T14:00:00Z,MA,BUY,32.0,328.849865715,10523.19570288,3
2020-11-02T15:00:00Z,NVDA,SELL,1723.0,12.4947209508,21528.4041982284,3
2020-11-02T15:00:00Z,AVGO,SELL,333.0,31.1872372447,10385.3500024851,3
2020-11-02T15:00:00Z,CRWD,SELL,169.0,123.84,20928.96,3
2020-11-02T15:00:00Z,MA,SELL,32.0,281.011793216,8992.377382912,3
2020-11-02T15:00:00Z,HON,SELL,77.0,139.974918380578,10778.068715304506,3
2020-11-02T15:00:00Z,AAPL,SELL,96.0,105.654149202,10142.798323392,3
2020-11-02T15:00:00Z,DE,SELL,6.0,211.034436457,1266.206618742,3
2020-11-02T15:00:00Z,GE,BUY,621.0,36.1183256383904,22429.480221440437,3
2020-11-02T15:00:00Z,CAT,BUY,77.0,142.80641307,10996.09380639,3
2020-11-02T15:00:00Z,QCOM,SELL,9.0,110.288515344,992.596638096,3
2020-11-02T15:00:00Z,NOW,SELL,6.0,99.514,597.084,3
2020-11-02T15:00:00Z,GOOGL,BUY,130.0,80.1995395555,10425.940142215,3
2020-12-01T15:00:00Z,NOW,SELL,105.0,106.91,11225.55,3
2020-12-01T15:00:00Z,GOOGL,SELL,130.0,87.06218772,11318.0844036,3
2020-12-01T15:00:00Z,GE,SELL,106.0,49.5531745281421,5252.636499983063,3
2020-12-01T15:00:00Z,AMAT,BUY,323.0,78.986576096,25512.664079008,3
2020-12-01T15:00:00Z,DE,SELL,2.0,244.393029374,488.786058748,3
2020-12-01T15:00:00Z,QCOM,SELL,4.0,131.575557743,526.302230972,3
2020-12-01T15:00:00Z,HON,BUY,68.0,173.561161085119,11802.158953788092,3
2020-12-01T15:00:00Z,CAT,SELL,82.0,157.846324386,12943.398599652,3
2020-12-01T15:00:00Z,CRWD,BUY,77.0,153.28,11802.56,3
