Ticker,Shares,Net_Cost,Current_Value,Realized_PnL,Unrealized_PnL,Total_PnL,Status
NVDA,196.0,33453.449447880004,39870.24650952479,0,6416.797061644786,6416.797061644786,Open (196 sh)
GOOGL,141.0,33083.7500955,39429.63411955983,0,6345.884024059829,6345.884024059829,Open (141 sh)
MU,278.0,33894.97256094,40396.45937091539,-4083.562049562,6501.486809975395,2417.924760413395,Open (278 sh)
AMD,0,0,0,1092.6999999999948,0,1092.6999999999948,Closed
PLTR,0,0,0,661.440000000001,0,661.440000000001,Closed
TOTAL,,,,-2329.4220495620043,19264.16789568001,16934.745846118007,
