Date,Ticker,Direction,Quantity,Price,Value,Status
2020-06-01T14:00:00Z,TSLA,BUY,223.0,55.6666611,12413.6654253,3
2020-06-01T14:00:00Z,NVDA,BUY,1410.0,8.84100536925,12465.8175706425,3
2020-06-01T14:00:00Z,AMZN,BUY,102.0,121.832009999,12426.865019898,3
2020-06-01T14:00:00Z,AAPL,BUY,161.0,77.0053779915,12397.8658566315,3
2020-06-01T14:00:00Z,HD,BUY,57.0,216.354443216,12332.203263312,3
2020-06-01T14:00:00Z,META,BUY,55.0,223.528595688,12294.07276284,3
2020-06-01T14:00:00Z,UNH,BUY,44.0,277.638997545,12216.11589198,3
2020-06-01T14:00:00Z,ABBV,BUY,167.0,74.325056067,12412.284363189,3
2020-07-01T14:00:00Z,META,SELL,55.0,225.494860824,12402.21734532,3
2020-07-01T14:00:00Z,HD,SELL,57.0,219.424439559,12507.193054863,3
2020-07-01T14:00:00Z,UNH,SELL,44.0,269.779586395,11870.30180138,3
2020-07-01T14:00:00Z,TSLA,SELL,8.0,71.9873261346,575.8986090768,3
2020-07-01T14:00:00Z,NVDA,BUY,225.0,9.465153722,2129.65958745,3
2020-07-01T14:00:00Z,AMZN,BUY,10.0,137.617390414,1376.17390414,3
2020-07-01T14:00:00Z,MSFT,BUY,79.0,194.296369664,15349.413203456,3
2020-07-01T14:00:00Z,AAPL,BUY,14.0,88.35491568,1236.96881952,3
2020-07-01T14:00:00Z,LLY,BUY,100.0,154.254941386,15425.4941386,3
2020-07-01T14:00:00Z,ABBV,BUY,29.0,78.752317419,2283.817205151,3
2020-08-03T14:00:00Z,MSFT,SELL,79.0,195.728459264,15462.548281856,3
2020-08-03T14:00:00Z,NVDA,SELL,1635.0,10.578320178,17295.55349103,3
2020-08-03T14:00:00Z,LLY,SELL,100.0,141.204623833,14120.4623833,3
2020-08-03T14:00:00Z,ABBV,SELL,196.0,77.074674994,15106.636298824,3
2020-08-03T14:00:00Z,TSLA,SELL,60.0,95.3839904616,5723.039427696,3
2020-08-03T14:00:00Z,AMZN,SELL,19.0,157.862783036,2999.392877684,3
2020-08-03T14:00:00Z,UPS,BUY,128.0,114.779309826,14691.751657728,3
2020-08-03T14:00:00Z,AAPL,SELL,32.0,102.945102414,3294.243277248,3
2020-08-03T14:00:00Z,HD,BUY,63.0,232.545584841,14650.371844983,3
2020-08-03T14:00:00Z,BLK,BUY,29.0,504.419817366,14628.174703614,3
2020-08-03T14:00:00Z,PG,BUY,128.0,115.017823502,14722.281408256,3
2020-08-03T14:00:00Z,COST,BUY,49.0,299.570707809,14678.964682641,3
2020-09-01T14:00:00Z,COST,SELL,49.0,319.935957598,15676.861922302,3
2020-09-01T14:00:00Z,PG,SELL,128.0,121.397951511,15538.937793408,3
2020-09-01T14:00:00Z,TSLA,SELL,51.0,166.106650056,8471.439152856,3
2020-09-01T14:00:00Z,NVDA,BUY,1308.0,13.328598716,17433.807120528,3
2020-09-01T14:00:00Z,UPS,BUY,3.0,132.26383585,396.79150755,3
2020-09-01T14:00:00Z,AAPL,SELL,4.0,125.239862328,500.959449312,3
2020-09-01T14:00:00Z,AMZN,BUY,8.0,172.143202392,1377.145619136,3
2020-09-01T14:00:00Z,CRM,BUY,64.0,269.37700034,17240.12802176,3
2020-09-01T14:00:00Z,HD,BUY,6.0,249.669642936,1498.017857616,3
2020-09-01T14:00:00Z,BLK,BUY,4.0,521.245215354,2084.980861416,3
2020-10-01T14:00:00Z,AAPL,SELL,139.0,112.399476567,15623.527242813,3
2020-10-01T14:00:00Z,NVDA,SELL,1308.0,13.4880981191,17642.4323397828,3
2020-10-01T14:00:00Z,AMZN,SELL,101.0,157.067153971,15863.782551071,3
2020-10-01T14:00:00Z,TSLA,SELL,104.0,143.003319033,14872.345179432,3
2020-10-01T14:00:00Z,BLK,SELL,33.0,497.335974525,16412.087159325,3
2020-10-01T14:00:00Z,UPS,SELL,9.0,134.729936225,1212.569426025,3
2020-10-01T14:00:00Z,CRM,BUY,2.0,248.303054192,496.606108384,3
2020-10-01T14:00:00Z,AVGO,BUY,506.0,32.4975953808,16443.7832626848,3
2020-10-01T14:00:00Z,NKE,BUY,141.0,116.671866954,16450.733240514,3
2020-10-01T14:00:00Z,META,BUY,63.0,260.08325208,16385.24488104,3
2020-10-01T14:00:00Z,HD,SELL,2.0,244.5319863,489.0639726,3
2020-10-01T14:00:00Z,CMCSA,BUY,464.0,35.4547773671274,16451.016698347114,3
2020-10-01T14:00:00Z,CAT,BUY,122.0,134.795102995,16445.00256539,3
2020-11-02T15:00:00Z,META,SELL,63.0,261.284858552,16460.946088776,3
2020-11-02T15:00:00Z,AVGO,SELL,506.0,31.1872372447,15780.7420458182,3
2020-11-02T15:00:00Z,CRM,SELL,66.0,229.481738012,15145.794708792,3
2020-11-02T15:00:00Z,HD,SELL,67.0,234.8461563,15734.6924721,3
2020-11-02T15:00:00Z,NKE,SELL,141.0,111.597560808,15735.256073928,3
2020-11-02T15:00:00Z,CAT,SELL,122.0,142.80641307,17422.38239454,3
2020-11-02T15:00:00Z,UPS,SELL,122.0,127.032468825,15497.96119665,3
2020-11-02T15:00:00Z,CMCSA,SELL,464.0,32.5371109619255,15097.219486333432,3
2020-11-02T15:00:00Z,GE,BUY,3523.0,36.1183256383904,127244.86122404938,3
2020-12-01T15:00:00Z,TSLA,BUY,115.0,189.19998108,21757.9978242,3
